startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,övrigt,Mängd mykorrhiza
kalavverkad,trakthygge,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,trakthygge,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,trakthygge,0.1,0.75,0.3,0.001,0.85,0.5,0.2,0.75,0.5,0.7,1.3,0.3,5
kalavverkad,trakthygge,10,2.55,0.93,0.0045,4.5,1.8,0.2,1.5,1.35,2.1,3.15,0.3,15
kalavverkad,trakthygge,20,12,3.9,0.036,19.8,8.4,0.25,6.6,6,3.6,13.2,2,60
kalavverkad,trakthygge,30,24,8.4,0.075,38.4,15.6,0.36,13.8,12,7.2,30,2.5,120
kalavverkad,trakthygge,40,24.6,9.225,0.0984,39.36,15.99,0.45,14.145,14,7.38,29.52,2.706,123
kalavverkad,trakthygge,50,24.2,9.68,0.10285,36.3,15.73,0.605,14.52,15.73,7.26,29,3.025,121
kalavverkad,trakthygge,60,24,9.6,0.108,34.8,14.4,0.66,15.6,16.8,6.6,28.2,3.3,120
kalavverkad,trakthygge,70,24.15,9.2,0.10925,32.775,13.8,0.667,15.525,17.25,5.98,25.3,3.703,115
kalavverkad,trakthygge,80,24.84,9.18,0.108,30.24,12.96,0.648,15.12,17.28,5.4,22.68,3.672,108
kalavverkad,trakthygge,90,25.75,8.755,0.10815,27.81,12.36,0.6695,15.45,16.995,5.15,21.115,3.4505,103
kalavverkad,trakthygge,100,26,9,0.11,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,0.1,18.52291667,6.4175,0.250166667,22.02818324,10.18498346,0.55,13.59400685,14.39365431,4.326513636,17.05353429,2.828226813,85
kalavverkad,blädning,10,19.8825,6.8895,0.25075,23.5082779,10.80157304,0.58,14.24479293,15.0924892,4.736612128,18.02883915,2.970432587,90
kalavverkad,blädning,20,22.48333333,7.7425,0.256,25.42475837,11.60916871,0.61,14.69815804,15.44494667,4.854126097,19.21283476,3.136512247,95
kalavverkad,blädning,30,25.66666667,8.9,0.264,27.05133972,12.14418814,0.6200604,15.06778899,15.77459359,5.172524578,20.8828632,3.286641393,100
kalavverkad,blädning,30.1,18.23958333,6.3325,0.214166667,23.08600193,10.3302808,0.510873481,12.65902584,13.16667615,4.496331267,17.93697742,2.813833115,85
kalavverkad,blädning,40,19.6725,6.92325,0.21715,24.6763265,10.97968024,0.55,13.29193848,13.831827,4.919911437,18.80347427,2.962961589,90
kalavverkad,blädning,50,22.19833333,7.850166667,0.226166667,26.14672906,11.77990985,0.575,13.9013715,14.65425358,5.039900429,19.7660126,3.131238203,95
kalavverkad,blädning,60,25.33333333,9,0.24,27.53519595,12.12045871,0.593591696,14.51347236,15.22826864,5.252198776,21.47496659,3.281847282,100
kalavverkad,blädning,60.1,17.95625,6.4175,0.190166667,23.56504695,10.3063178,0.485094357,12.1118607,12.63105114,4.571975568,18.5203756,2.808277874,85
kalavverkad,blädning,70,19.2225,6.95325,0.199733333,25.10444288,10.97299637,0.53,12.85296823,13.49586017,4.945072785,19.15201039,2.962660317,90
kalavverkad,blädning,80,21.62833333,7.9325,0.2135,26.48091431,11.77445223,0.564475914,13.57174866,14.50800726,5.034990717,19.93350584,3.131905065,95
kalavverkad,blädning,90,25.5,9.03,0.235,27.68440151,12.11998416,0.586658808,14.36715447,15.16839963,5.249537212,21.541522,3.282342215,100
