ålder,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,Övriga
0,0.17,0.1,0.02,0.15,0.1,0.14,0.26,0.06
10,0.3,0.12,0.02,0.1,0.09,0.14,0.21,0.02
20,0.33,0.14,0.0025,0.11,0.1,0.06,0.22,0.0375
30,0.32,0.13,0.003,0.115,0.11,0.06,0.25,0.012
40,0.32,0.13,0.003,0.115,0.11,0.06,0.24,0.022
50,0.3,0.13,0.005,0.12,0.13,0.06,0.23,0.025
60,0.29,0.12,0.0055,0.13,0.14,0.055,0.235,0.0245
70,0.285,0.12,0.0058,0.135,0.15,0.052,0.22,0.0322
80,0.28,0.12,0.006,0.14,0.16,0.05,0.21,0.034
90,0.27,0.12,0.0065,0.15,0.165,0.05,0.205,0.0335
100,0.26,0.12,0.007,0.16,0.17,0.05,0.2,0.033
150,0.22,0.12,0.007,0.22,0.2,0.04,0.18,0.013
200,0.19,0.12,0.007,0.25,0.23,0.03,0.16,0.013
