startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,övrigt,Mängd mykorrhiza
kalavverkad,trakthygge,-7,26,1.04,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,trakthygge,0,26,1.04,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,trakthygge,0.1,0.75,0.013,0.001,0.85,0.5,0.1,0.75,0.5,0.7,1.3,0.3,5
kalavverkad,trakthygge,10,2.55,0.0255,0.0045,4.5,1.8,0.3,1.5,1.35,2.1,3.15,0.3,15
kalavverkad,trakthygge,20,12,0.12,0.036,19.8,8.4,0.15,6.6,6,3.6,13.2,2.25,60
kalavverkad,trakthygge,30,24,0.36,0.084,38.4,15.6,0.36,13.8,13.2,7.2,30,1.44,120
kalavverkad,trakthygge,40,24.6,0.492,0.0984,39.36,15.99,0.369,14.145,13.53,7.38,29.52,2.706,123
kalavverkad,trakthygge,50,24.2,0.726,0.121,36.3,15.73,0.605,14.52,15.73,7.26,27.83,3.025,121
kalavverkad,trakthygge,60,24,0.768,0.156,34.8,14.4,0.66,15.6,16.8,6.6,28.2,2.94,120
kalavverkad,trakthygge,70,23,0.782,0.1955,32.775,13.8,0.667,15.525,17.25,5.98,25.3,3.703,115
kalavverkad,trakthygge,80,21.6,0.7776,0.216,30.24,12.96,0.648,15.12,17.28,5.4,22.68,3.672,108
kalavverkad,trakthygge,90,25.75,0.9785,0.2575,27.81,12.36,0.6695,15.45,16.995,5.15,21.115,3.4505,103
kalavverkad,trakthygge,100,26,1.04,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,-7,26,1.04,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,0,26,1.04,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,0.1,21.79166667,0.868833333,0.250166667,19.43316832,8.985148515,0.534653465,11.99257426,12.6980198,3.816831683,15.04455446,2.495049505,75
kalavverkad,blädning,10,22.09166667,0.870916667,0.25075,22.19902913,10.2,0.627184466,13.45145631,14.25194175,4.472815534,17.02475728,2.772815534,85
kalavverkad,blädning,20,23.66666667,0.886666667,0.256,25.4125,11.60357143,0.619196429,14.69107143,15.4375,4.851785714,19.20357143,3.180803571,95
kalavverkad,blädning,30,25.66666667,0.926666667,0.264,27.16129032,12.19354839,0.622580645,15.12903226,15.83870968,5.193548387,20.96774194,2.893548387,100
kalavverkad,blädning,30.1,21.45833333,0.7555,0.214166667,20.46428571,9.157142857,0.465714286,11.22142857,11.67142857,3.985714286,15.9,2.134285714,75
kalavverkad,blädning,40,21.85833333,0.779583333,0.21715,23.36078067,10.39433086,0.548076208,12.58331784,13.09442379,4.657620818,17.8010223,2.560427509,85
kalavverkad,blädning,50,23.36666667,0.834333333,0.226166667,26.17814114,11.79406196,0.581282272,13.91807229,14.67185886,5.04595525,19.78975904,3.020869191,95
kalavverkad,blädning,60,25.33333333,0.881333333,0.24,27.6875,12.1875,0.596875,14.59375,15.3125,5.28125,21.59375,2.746875,100
kalavverkad,blädning,60.1,21.125,0.710166667,0.190166667,20.92431193,9.151376147,0.443119266,10.75458716,11.21559633,4.059633028,16.44495413,2.006422018,75
kalavverkad,blädning,70,21.35833333,0.736583333,0.199733333,23.76849005,10.38905967,0.528137432,12.16898734,12.77766727,4.681916817,18.13282098,2.552920434,85
kalavverkad,blädning,80,22.76666667,0.7954,0.2135,26.50708263,11.78608769,0.565033727,13.5851602,14.52234401,5.039966273,19.95320405,3.041121417,95
kalavverkad,blädning,90,25.5,0.879,0.235,27.83333333,12.18518519,0.589814815,14.44444444,15.25,5.277777778,21.65740741,2.762037037,100
kalavverkad,blädning,90.1,21.125,0.710166667,0.190166667,20.92431193,9.151376147,0.443119266,10.75458716,11.21559633,4.059633028,16.44495413,2.006422018,75
