startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter
kalavverkad,trakthygge,-7,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,trakthygge,0,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,trakthygge,0.1,0.75,0.25,0.001,0.8,0.55,0.01,0.75,0.5,0.7,1.15
kalavverkad,trakthygge,10,2.55,1.35,0.009,4.5,1.8,0.03,1.5,1.35,2.4,3
kalavverkad,trakthygge,20,12,6,0.036,21,8.4,0.15,6.6,6,3.6,13.2
kalavverkad,trakthygge,30,24,12,0.096,38.4,15.6,0.36,13.8,13.2,7.2,30
kalavverkad,trakthygge,40,24.6,12.3,0.123,39.36,15.99,0.369,14.145,13.53,7.38,29.52
kalavverkad,trakthygge,50,24.2,12.1,0.1452,36.3,15.73,0.605,14.52,15.73,7.26,27.83
kalavverkad,trakthygge,60,25.2,12,0.18,34.8,14.4,0.66,15.6,16.8,6.6,28.2
kalavverkad,trakthygge,70,25.3,11.5,0.23,32.775,13.8,0.667,15.525,17.25,5.98,25.3
kalavverkad,trakthygge,80,25.76,11.2,0.28,31.36,13.44,0.672,15.68,17.92,5.6,23.52
kalavverkad,trakthygge,90,26.4,11,0.33,29.7,13.2,0.715,16.5,19.8,5.5,22.55
kalavverkad,trakthygge,100,27.5,11,0.33,28.6,13.2,0.77,17.6,20,5.5,22
kalavverkad,blädning,-7,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,blädning,0,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,blädning,0.1,22.97916667,9.1875,0.275083333,23.9,11.04583333,0.6425,14.72916667,17.45833333,4.641666667,18.42916667
kalavverkad,blädning,10,23.12916667,9.279166667,0.27575,24.20833333,11.15,0.644166667,14.79166667,17.52916667,4.783333333,18.58333333
kalavverkad,blädning,20,23.91666667,9.666666667,0.278,25.58333333,11.7,0.654166667,15.21666667,17.91666667,4.883333333,19.43333333
kalavverkad,blädning,30,24.91666667,10.16666667,0.283,27.03333333,12.3,0.671666667,15.81666667,18.51666667,5.183333333,20.83333333
kalavverkad,blädning,30.1,22.89583333,9.354166667,0.258083333,24.93333333,11.34583333,0.614166667,14.54583333,16.975,4.825,19.2625
kalavverkad,blädning,40,23.09583333,9.470833333,0.261,25.32166667,11.4825,0.616583333,14.63708333,17.07333333,4.981666667,19.37666667
kalavverkad,blädning,50,23.0625,9.466666667,0.26285,25.06666667,11.46083333,0.63625,14.66833333,17.25666667,4.971666667,19.23583333
kalavverkad,blädning,60,23.93333333,9.833333333,0.268,26.31666667,11.9,0.650833333,15.18333333,17.73333333,5.016666667,20.11666667
kalavverkad,blädning,60.1,21.9125,9.020833333,0.243083333,24.21666667,10.94583333,0.593333333,13.9125,16.19166667,4.658333333,18.54583333
kalavverkad,blädning,70,22.975,9.570833333,0.252916667,25.80625,11.6,0.613083333,14.56875,16.9,5.048333333,19.85833333
kalavverkad,blädning,80,23.10916667,9.558333333,0.257083333,25.68833333,11.57,0.6135,14.58166667,16.95583333,5.016666667,19.71
kalavverkad,blädning,90,24,9.941666667,0.26575,27.005,12.1325,0.627833333,15.10375,17.5275,5.123333333,20.43916667
kalavverkad,blädning,90.1,21.82916667,9.029166667,0.240183333,24.34166667,11.05666667,0.58875,13.8225,16.1025,4.713333333,18.515
kalavverkad,blädning,100,23.0625,9.6125,0.24875,25.975,11.65,0.6125,14.575,16.8625,5.1,20.1
kalavverkad,luckhuggning,-7,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,luckhuggning,0,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,luckhuggning,0.1,20.95833333,8.375,0.250166667,21.8,10.09166667,0.585,13.45833333,15.91666667,4.283333333,16.85833333
kalavverkad,luckhuggning,10,21.25833333,8.558333333,0.2515,22.41666667,10.3,0.588333333,13.58333333,16.05833333,4.566666667,17.16666667
kalavverkad,luckhuggning,20,22.83333333,9.333333333,0.256,25.16666667,11.4,0.608333333,14.43333333,16.83333333,4.766666667,18.86666667
kalavverkad,luckhuggning,30,24.83333333,10.33333333,0.266,28.06666667,12.6,0.643333333,15.63333333,18.03333333,5.366666667,21.66666667
kalavverkad,luckhuggning,30.1,20.79166667,8.708333333,0.216166667,23.86666667,10.69166667,0.528333333,13.09166667,14.95,4.65,18.525
kalavverkad,luckhuggning,40,21.19166667,8.941666667,0.222,24.64333333,10.965,0.533166667,13.27416667,15.14666667,4.963333333,18.75333333
kalavverkad,luckhuggning,50,21.125,8.933333333,0.2257,24.13333333,10.92166667,0.5725,13.33666667,15.51333333,4.943333333,18.47166667
kalavverkad,luckhuggning,60,22.86666667,9.666666667,0.236,26.63333333,11.8,0.601666667,14.36666667,16.46666667,5.033333333,20.23333333
kalavverkad,luckhuggning,60.1,18.825,8.041666667,0.186166667,22.43333333,9.891666667,0.486666667,11.825,13.38333333,4.316666667,17.09166667
kalavverkad,luckhuggning,70,20.95,9.141666667,0.205833333,25.6125,11.2,0.526166667,13.1375,14.8,5.096666667,19.71666667
kalavverkad,luckhuggning,80,21.21833333,9.116666667,0.214166667,25.37666667,11.14,0.527,13.16333333,14.91166667,5.033333333,19.42
kalavverkad,luckhuggning,90,23,9.883333333,0.2315,28.01,12.265,0.555666667,14.2075,16.055,5.246666667,20.87833333
kalavverkad,luckhuggning,90.1,18.65833333,8.058333333,0.180366667,22.68333333,10.11333333,0.4775,11.645,13.205,4.426666667,17.03
kalavverkad,luckhuggning,100,21.125,9.225,0.1975,25.95,11.3,0.525,13.15,14.725,5.2,20.2
kalavverkad,skärm,-7,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,skärm,0,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,skärm,0.1,17,6.5,0.156,17.8,9.3,0.41,12.5,12.5,6.7,16.9
kalavverkad,skärm,10,18.025,7.925,0.1695,22.75,9.9,0.415,11.25,12.425,7.7,16.5
kalavverkad,skärm,10.1,10.44,5.2,0.0792,14.8,6.24,0.204,6.4,6.68,6.12,10.4
kalavverkad,skärm,20,14.6,6.8,0.0888,22,9.12,0.26,8.48,8.6,3.88,14.56
kalavverkad,skärm,20.1,9.5,4.75,0.0285,16.625,6.65,0.11875,5.225,4.75,2.85,10.45
kalavverkad,skärm,30,17.1,8.55,0.0684,27.36,11.115,0.2565,9.8325,9.405,5.13,21.375
kalavverkad,skärm,40,21.85,10.925,0.10925,34.96,14.2025,0.32775,12.56375,12.0175,6.555,26.22
kalavverkad,skärm,50,22.8,11.4,0.1368,34.2,14.82,0.57,13.68,14.82,6.84,26.22
kalavverkad,skärm,60,23.94,11.4,0.171,33.06,13.68,0.627,14.82,15.96,6.27,26.79
kalavverkad,skärm,70,22.9425,10.925,0.2185,31.13625,13.11,0.63365,14.74875,16.3875,5.681,24.035
kalavverkad,skärm,80,24.472,10.64,0.266,29.792,12.768,0.6384,14.896,17.024,5.32,22.344
kalavverkad,skärm,90,25.08,10.45,0.3135,28.215,12.54,0.67925,15.675,18.81,5.225,21.4225
kalavverkad,skärm,100,26.125,10.45,0.3135,27.17,12.54,0.7315,16.72,19.855,5.225,20.9
kalavverkad,ingen åtgärd,-7,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,0,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,10,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,20,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,30,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,40,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,50,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,60,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,70,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,80,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,90,25,10,0.3,26,12,0.7,16,19,5,20
kalavverkad,ingen åtgärd,100,25,10,0.3,26,12,0.7,16,19,5,20
Inte kallavverkad,trakthygge,-7,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,trakthygge,0,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,trakthygge,0.1,0.75,0.25,0.001,0.8,0.55,0.01,0.75,0.5,0.7,1.15
Inte kallavverkad,trakthygge,10,2.55,1.35,0.009,4.5,1.8,0.03,1.5,1.35,2.4,3
Inte kallavverkad,trakthygge,20,12,6,0.036,21,8.4,0.15,6.6,6,3.6,13.2
Inte kallavverkad,trakthygge,30,24,12,0.096,38.4,15.6,0.36,13.8,13.2,7.2,30
Inte kallavverkad,trakthygge,40,24.6,12.3,0.123,39.36,15.99,0.369,14.145,13.53,7.38,29.52
Inte kallavverkad,trakthygge,50,24.2,12.1,0.1452,36.3,15.73,0.605,14.52,15.73,7.26,27.83
Inte kallavverkad,trakthygge,60,25.2,12,0.18,34.8,14.4,0.66,15.6,16.8,6.6,28.2
Inte kallavverkad,trakthygge,70,24.15,11.5,0.23,32.775,13.8,0.667,15.525,17.25,5.98,25.3
Inte kallavverkad,trakthygge,80,25.76,11.2,0.28,31.36,13.44,0.672,15.68,17.92,5.6,23.52
Inte kallavverkad,trakthygge,90,26.4,11,0.33,29.7,13.2,0.715,16.5,19.8,5.5,22.55
Inte kallavverkad,trakthygge,100,27.5,11,0.44,28.6,13.2,0.77,17.6,20,5.5,22
Inte kallavverkad,blädning,-7,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,blädning,0,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,blädning,0.1,27.5625,9.1875,0.550083333,20.23333333,11.04583333,0.734166667,20.95833333,18.41666667,1.783333333,15.19166667
Inte kallavverkad,blädning,10,27.7125,9.279166667,0.55075,20.54166667,11.15,0.735833333,21.08333333,18.55833333,2.066666667,15.5
Inte kallavverkad,blädning,20,28.5,9.666666667,0.553,21.91666667,11.7,0.745833333,21.93333333,19.33333333,2.266666667,17.2
Inte kallavverkad,blädning,30,29.5,10.16666667,0.558,23.36666667,12.3,0.763333333,23.13333333,20.53333333,2.866666667,20
Inte kallavverkad,blädning,30.1,27.0625,9.354166667,0.508083333,21.6,11.34583333,0.6975,19.09166667,16.95,2.65,17.19166667
Inte kallavverkad,blädning,40,27.2625,9.470833333,0.511,21.98833333,11.4825,0.699916667,19.27416667,17.14666667,2.963333333,17.42
Inte kallavverkad,blädning,50,27.22916667,9.466666667,0.51285,21.73333333,11.46083333,0.719583333,19.33666667,17.51333333,2.943333333,17.13833333
Inte kallavverkad,blädning,60,28.1,9.833333333,0.518,22.98333333,11.9,0.734166667,20.36666667,18.46666667,3.033333333,18.9
Inte kallavverkad,blädning,60.1,25.6625,9.020833333,0.468083333,21.21666667,10.94583333,0.668333333,16.325,14.88333333,2.816666667,16.09166667
Inte kallavverkad,blädning,70,26.725,9.570833333,0.477916667,22.80625,11.6,0.688083333,17.6375,16.3,3.596666667,18.71666667
Inte kallavverkad,blädning,80,26.85916667,9.558333333,0.482083333,22.68833333,11.57,0.6885,17.66333333,16.41166667,3.533333333,18.42
Inte kallavverkad,blädning,90,27.75,9.941666667,0.49075,24.005,12.1325,0.702833333,18.7075,17.555,3.746666667,19.87833333
Inte kallavverkad,blädning,90.1,25.57916667,9.029166667,0.465183333,21.34166667,11.05666667,0.66375,16.145,14.705,2.926666667,16.03
Inte kallavverkad,blädning,100,26.8125,9.6125,0.47375,22.975,11.65,0.6875,17.65,16.225,3.7,19.2
Inte kallavverkad,luckhuggning,-7,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,luckhuggning,0,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,luckhuggning,0.1,25.125,8.375,0.500166667,18.46666667,10.09166667,0.668333333,20.95833333,18.41666667,1.783333333,15.19166667
Inte kallavverkad,luckhuggning,10,25.425,8.558333333,0.5015,19.08333333,10.3,0.671666667,21.08333333,18.55833333,2.066666667,15.5
Inte kallavverkad,luckhuggning,20,27,9.333333333,0.506,21.83333333,11.4,0.691666667,21.93333333,19.33333333,2.266666667,17.2
Inte kallavverkad,luckhuggning,30,29,10.33333333,0.516,24.73333333,12.6,0.726666667,23.13333333,20.53333333,2.866666667,20
Inte kallavverkad,luckhuggning,30.1,24.125,8.708333333,0.416166667,21.2,10.69166667,0.595,19.09166667,16.95,2.65,17.19166667
